,Frequency,EFddec,EFfc,acceptor_type,Type,rHO,rOO,tOHO,sOHQM,OH_bond_order
0,3577.868,0.000150639737031,0.000401691221588,,water,3.0,3.5,100.0,0.8974,0.8974
1,3577.868,0.000152229623722,0.000405203682726,,water,3.0,3.5,100.0,0.897,0.897
2,3511.409,0.015010023037149,0.032562866869271,H2O,water,3.0,3.5,100.0,0.8292,0.8292
3,2952.4979999999996,0.053806140478837,0.102201635156261,O2-,water,1.79040361424456,2.65334569773711,142.511457353148,0.7401,0.7401
4,3514.4519999999993,0.039664614792713,0.066009701907221,OH-,hydroxide,3.0,3.5,100.0,0.8793,0.8793
5,3418.982,0.086426188342788,0.13010580125703,,hydroxide,2.12449340831263,2.58041226989575,106.536396706455,0.7279,0.7279
6,2823.2709999999997,0.052978707256107,0.097683200360825,OH-,water,1.78155233201273,2.75809503884475,164.281236328765,0.7314,0.7314
7,3524.1499999999996,0.037623781548111,0.066686556174925,OH-,hydroxide,3.0,3.5,100.0,0.9084,0.9084
8,3513.776,0.062235586436333,0.079804217133711,,hydroxide,3.0,3.5,100.0,0.8217,0.8217
9,3541.795,0.010127180717711,0.021744705871416,H2O,water,3.0,3.5,100.0,0.848,0.848
10,2826.669,0.05895844853246,0.115205672999917,O2-,water,1.75959603003076,2.64771418990041,145.481051599258,0.7264,0.7264
11,3401.7239999999997,0.025657655354208,0.060106691157123,H2O,water,2.23610311522076,3.17246149243769,159.300961516622,0.7966,0.7966
12,3048.622,0.049052012926883,0.091463064324317,O2-,water,1.82823769794849,2.66175411219745,139.263275044549,0.7516,0.7516
13,2867.327,0.094689568534034,0.161210193119325,OH-,hydroxide,1.73036870923337,2.56180390900305,138.077511483413,0.7368,0.7368
14,3518.5650000000005,0.010700869318979,0.012751986672071,OH-,water,3.0,3.5,100.0,0.8386,0.8386
15,2379.458,0.063394512747357,0.125510588641585,OH-,water,1.69921902771579,2.71396844113794,174.305003197766,0.7044,0.7044
16,3529.761,0.041278335987366,0.077163621475497,OH-,hydroxide,3.0,3.5,100.0,0.8853,0.8853
17,3555.905,0.037082327841737,0.069235926685228,H2O,hydroxide,3.0,3.5,100.0,0.9075,0.9075
18,2792.755,0.100781745266325,0.171244209442991,OH-,hydroxide,1.75268883655942,2.55369094304695,134.019195957069,0.7013,0.7013
19,2898.283,0.048306090987902,0.094633885897641,OH-,water,1.89844442199397,2.87411153711891,164.557749848168,0.7387,0.7387
20,3470.0950000000003,0.021549678213903,0.039630679395627,H2O,water,2.20497278071635,2.76167615288252,114.817988781485,0.8049,0.8049
21,2802.648,0.09631518493077,0.16507043777583,OH-,hydroxide,1.71093413068662,2.55492329876057,139.365064642421,0.7339,0.7339
22,3515.599,0.010957359282837,0.01366154250208,H2O,water,3.0,3.5,100.0,0.8379,0.8379
