,Frequency,acceptor_type,Type,rHO,rOO,tOHO,sOH
0,,OH-,hydroxide,2.6587856200844637,3.4620826765836177,140.0568681593261,0.9655213884898162
1,,OH-,hydroxide,2.6587854467168763,3.4620826765836177,140.05686503076078,0.9655213770853692
2,,OH-,hydroxide,2.6587854467168763,3.462082676583617,140.05686503076078,0.9655213770853692
3,3491.9720000000007,OH-,hydroxide,2.6587857067682603,3.462082676583617,140.0568697236086,0.9655213936936248
4,3548.512,OH-,hydroxide,3.004039506313358,3.624301083896223,122.85519286311316,0.9662108283319572
5,,OH-,hydroxide,3.0040395063133585,3.624301083896223,122.85519286311316,0.9662108283319572
6,3524.669,OH-,hydroxide,2.491793275469827,3.229314987370346,132.60151970763246,0.9169720389492174
7,,OH-,hydroxide,2.491793275469827,3.229314987370346,132.60151970763246,0.9169720389492174
8,,OH-,hydroxide,1.8919091766568008,2.68434485178344,150.926059373119,0.8537328148604872
9,,OH-,hydroxide,1.891909105835143,2.684344842780956,150.9260535929138,0.853732800685521
10,,OH-,hydroxide,1.8919091766568008,2.794554867649936,150.92605630421454,0.853732815207592
11,3176.496,OH-,hydroxide,1.8919091766568008,2.7945548676499365,150.92605630421448,0.8537328148240191
12,3142.4270000000006,OH-,hydroxide,1.8825102108858012,2.8376468828925483,162.01640507514549,0.8458967369847501
13,,OH-,hydroxide,1.8825102108858012,2.8376468828925487,162.01640507514554,0.8458967427891528
14,,OH-,hydroxide,1.8825102108858016,2.837646882892549,162.01640507514549,0.8458967400286708
15,,OH-,hydroxide,1.882510325324322,2.8376469973156357,162.0164052583219,0.8458967661709987
16,,OH-,hydroxide,1.7764908507133732,3.280766658512442,161.07481710866494,0.8630314771556609
17,,OH-,hydroxide,1.7764908507133736,3.280766658512442,161.07481710866492,0.8630314771556611
18,2903.849,OH-,hydroxide,1.7764908507133734,2.7380397967591725,161.07481710866492,0.863031477155661
19,,OH-,hydroxide,1.7764908507133734,2.738039796759172,161.07481710866494,0.863031477155661
20,2804.6280000000006,OH-,hydroxide,1.74989976007565,2.7437837452212386,171.93491314920487,0.8506750604077613
21,,OH-,hydroxide,1.7498997600756507,2.743783745221239,171.93491314920487,0.8506750604077615
22,,OH-,hydroxide,1.7498997600756503,3.225569890112276,171.9349131492049,0.8506750604077613
23,,OH-,hydroxide,1.7498997600756503,6.233292038258907,171.93491314920487,0.8506750604077613
24,184056.845,OH-,hydroxide,2.635747081120291,3.3231036864662946,127.79786081490556,0.9489860622996392
25,,OH-,hydroxide,2.6357469310495887,3.3231036864662946,127.79785660893702,0.9489860479645292
